video_uid,file_size_mb,duration_sec,fps,width,height,video_source
000a3525-6c98-4650-aaab-be7d2c7b9402,43.814225,21.43,30.0,1920.0,1440.0,cmu
000cd456-ff8d-499b-b0c1-4acead128a8b,244.010466,958.1,30.0,1920.0,1440.0,bristol
002ad105-bd9a-4858-953e-54e88dc7587e,122.084903,1063.2,30.0,1440.0,1080.0,kaust
002c3b5c-ed86-4af3-99a1-4b497b7c8a86,655.684357,2757.97,30.0,1440.0,1080.0,kaust
002d2729-df71-438d-8396-5895b349e8fd,718.253558,3571.4,30.0,1440.0,1080.0,kaust
0031d268-818c-4ec4-a804-935be610a61a,934.619482,1987.93,30.0,1920.0,1440.0,cmu
0091e812-f56f-4bd9-ad65-019fc97c1ffe,824.487722,1896.98,30.0,1920.0,1440.0,bristol
00c450a5-49d0-4647-a45c-bf214cea169d,1065.454974,1800.0,30.0,1920.0,1080.0,minnesota
0123d797-c17d-42db-8268-53150a0641ad,21.324727,176.1,30.0,1440.0,1080.0,unict
015bc651-e0fe-440e-a10d-68406c548c5a,330.529404,2228.69,30.0,1440.0,1080.0,unict
016bfe72-74ef-4956-9cc9-7a7ad2f6ab48,685.328589,1800.13,30.0,1920.0,1080.0,minnesota
01ce4fd6-197a-4792-8778-775b03780369,99.750667,148.82,30.0,1920.0,1440.0,bristol
01db7c39-a512-4bac-b284-dff8c7360e80,3606.94841,684.4,30.0,1920.0,1440.0,cmu
01e63d7a-e0e9-480c-a75c-90ec00709928,40.752558,570.6,30.0,1440.0,1080.0,kaust
020f30ad-0a70-4aaf-835b-fb394830b06c,27.362935,196.37,30.0,1440.0,1080.0,unict
023bf95e-28de-43b4-a43f-720edba667a5,444.47647,982.67,30.0,1920.0,1080.0,minnesota
024713b7-b198-4502-a114-02ca0485353b,508.591051,1063.47,30.0,1920.0,1440.0,bristol
0252c4ef-712a-466f-b655-2a701764fbdb,408.563589,528.43,30.0,1920.0,1440.0,cmu
026dac2d-2ab3-4f9c-9e1d-6198db4fb080,48.787211,122.57,30.0,1920.0,1080.0,minnesota
02877cad-35c5-423b-8e93-11cf79fe4b31,3155.306305,1220.4,30.0,1920.0,1440.0,bristol
02953bf3-4b5b-45ea-8339-465ed47a9337,13.289227,40.4,30.0,1920.0,1080.0,minnesota
02995fb6-f8ac-4168-a60d-8a0b1a7210bd,1922.680445,1057.03,30.0,1440.0,1080.0,unict
029eeb9a-8853-48a4-a1dc-e8868b58adf3,392.501178,585.07,30.0,2560.0,1920.0,cmu
029ff9ab-ac4c-43a5-ae53-153228c52a21,242.894371,722.43,30.0,1920.0,1080.0,minnesota
02a06bf1-51b8-4902-b088-573e29fcd7ec,74.367791,289.17,30.0,1440.0,1080.0,iiith
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1529.334593,3584.9,30.0,1920.0,1440.0,bristol
02d1f024-1470-4ce6-acde-b938f7847eb6,1800.843683,1267.26,30.0,1920.0,1080.0,unict
030c7542-09a7-42a1-a406-05ad4f397341,55.900275,123.26,30.0,1440.0,1080.0,iiith
033520cd-e7e4-4649-b551-83bb451a4802,296.156413,481.4,30.0,1440.0,1080.0,kaust
035eb249-9923-41ec-9f59-3b131c12bb1f,439.891715,2074.36,30.0,1920.0,1080.0,nus
03634630-7d25-4d31-aeda-b9747f09034d,50.052393,675.23,30.0,1440.0,1080.0,kaust
0377792b-7b1e-4d67-86fd-f50c9257ea85,265.495944,1221.1,30.0,1440.0,1080.0,unict
03acb84e-6cb8-487c-b413-630bcbf9f406,143.973838,1788.13,30.0,1440.0,1080.0,unict
03be7d83-7394-45b9-9f36-b55ad721aee1,65.661029,489.63,30.0,1440.0,1080.0,unict
03d4c383-b80e-4095-9328-c964f2803a26,24.614463,43.57,30.0,1920.0,1080.0,minnesota
03e12aff-3e22-4922-af0f-cb188c284b2e,180.800979,621.14,30.0,1920.0,1080.0,unict
03e90bbc-7d6b-423c-84d9-b5be3eff11c5,710.81267,1283.53,30.0,1920.0,1080.0,minnesota
03f4405c-9ed4-4b91-b87d-ccc8f6e126d6,185.145142,943.43,30.0,2560.0,1920.0,cmu
03f46720-8327-4215-ba56-5d739f6795ef,1653.349994,569.37,30.0,2560.0,1920.0,cmu
03f5b0be-94ac-4d22-9c30-7bf0456ccf0e,2100.992148,2313.69,30.0,1920.0,1440.0,bristol
03febedb-2ce4-465b-9f51-953a81609d56,85.054147,279.47,30.0,1920.0,1080.0,minnesota
04041aaa-d309-42db-b65c-dcaf86b9f96c,469.916604,470.77,30.0,2560.0,1920.0,cmu_africa
041b9423-9695-45cb-bc58-266af7f91039,11.044886,98.53,30.0,1440.0,1080.0,unict
043323ee-0ef9-4e6e-be31-c964bc3ea999,888.166242,3183.73,30.0,1920.0,1080.0,frl_track_1_public
046855d7-41d7-4f41-a6a7-fce921ea8133,393.698203,423.13,30.0,1920.0,1080.0,minnesota
0475a0b9-9445-4083-8c6a-42f0171ff3e4,1458.417605,3540.29,30.0,1920.0,1080.0,frl_track_1_public
047c5e54-444f-463e-b677-be38e706a9ea,315.147909,737.07,30.0,1440.0,1080.0,unict
04994ce8-9d47-44d6-a7b0-42b395e69390,783.565326,1474.57,30.0,2560.0,1440.0,cmu
049cfb89-3bcc-4fa3-8d0e-4e7e218b05ae,303.996548,664.8,30.0,1920.0,1080.0,minnesota
04ac4c40-22fd-42aa-a7f0-ee597ffb7058,902.948422,5424.6,30.0,1440.0,1080.0,kaust
04ad2853-5cb4-4c17-8bb5-a0ea7e99e4ab,54.22556,297.56,30.0,1920.0,1080.0,bristol
04fe8f4d-081e-437e-a56a-2d53b6233fc9,881.984724,5290.36,30.0,1440.0,1080.0,iiith
050e156a-fbad-45a7-8db5-2241cf7fb306,507.405877,1902.3,30.0,1920.0,1080.0,nus
053ca9bc-4822-4573-b04e-aea0c1ae97df,37.038789,52.86,30.0,1920.0,1440.0,utokyo
054992d4-aa9a-4904-8699-3ecf422e0312,29.091752,147.47,30.0,1440.0,1080.0,unict
055ba601-c243-4d4a-8a2c-694a5c88824c,333.102715,1062.07,30.0,1440.0,1080.0,kaust
055f3cf1-1133-4260-b5a0-31e7ca1726a1,702.564956,1378.33,30.0,1920.0,1440.0,bristol
057670b3-f243-416c-b41b-82d309fd2b88,63.965927,365.43,30.0,1440.0,1080.0,kaust
05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,1098.031341,2784.83,30.0,1440.0,1080.0,kaust
05b8b906-b9c5-48b4-be27-c91b5c28f92b,165.470138,284.3,30.0,1920.0,1080.0,minnesota
